,Unnamed: 0,text,label,clean_tweet,English,hindi,sentiment
11,11,#Bollywood @amitdey10510709   Bhaag Milkha Bhaag!,0,bollywood bhaag milkha bhaag,bollywood bhaag milkha bhaag,बॉलीवुड भाग मिल्खा भाग,No_sarcasm
12,12,bhau Bollywood ka main adda Mumbai hai...   Jaha rahne k liye heroin ki cha mud jati hai.  Aao kabhi haweli(Maharashtra) pe,0,bhau bollywood ka main adda mumbai hai jaha rahne k liye heroin ki cha mud jati hai aao kabhi hawelimaharashtra pe,"bhau, the main adda of bollywood is mumbai, the place where heroin is crazy to live, never come to maharashtra.","""भाऊ, बॉलीवुड का मुख्य अड्डा मुंबई है, जहां रहने के लिए हीरोइन के दीवाने हैं, कभी महाराष्ट्र मत आना।""",No_sarcasm
13,13,Bhai kuchh bhi karna iss @SimplySajidK ke saath movie mat karna..Bollywood se nafrat ho jaati hai..Itni sadi hui ghatiya filmein banata h ye,0,bhai kuchh bhi karna iss ke saath movie mat karna bollywood se nafrat ho jaati hai itni sadi hui ghatiya filmein banata h ye,"brother, i have to do nothing but do movies with her, i hate bollywood, it makes such sad films.","""भाई, मुझे उसके साथ फिल्में करने के अलावा कुछ नहीं करना है, मुझे बॉलीवुड से नफरत है, वह ऐसी दुखद फिल्में बनाता है।""",No_sarcasm
14,14,"#veerupanti : tag line ""Cricket jo hai Anishchittaon ka khel hai """,0,veerupanti tag line cricket jo hai anishchittaon ka khel hai,veerupanti tag line cricket is the game of anishchittaon,वीरुपंती टैग लाइन क्रिकेट अनिश्चित्तों का खेल है,No_sarcasm
15,15,Chayawadi baat kyu kr rhi hai madam aap..khul kr condem kegeye..mere smjh se administrator ko politics se dur rhna chahiye..desh ke liye,0,chayawadi baat kyu kr rhi hai madam aap khul kr condem kegeye mere smjh se administrator ko politics se dur rhna chahiye desh ke liye,"why are you talking about chayawadi? madam, you should openly condemn me. from my understanding, the administrator should stay away from politics for the sake of the country.","""आप छायावादी की बात क्यों कर रही हैं? मैडम, आपको खुलकर मेरी निंदा करनी चाहिए। मेरी समझ से प्रशासक को देशहित के लिए राजनीति से दूर रहना चाहिए।""",No_sarcasm
16,16,Abusing tweet ke liye Account suspend karte ho...   Woh bhi wo desh me... Jahan gali gali me yahi language use hota hai...   #Irony,1,abusing tweet ke liye account suspend karte ho woh bhi wo desh jahan gali gali yahi language use hota hai irony,account is suspended for abusing tweets. that country also has bad language. irony is used here.,अभद्र ट्वीट करने पर अकाउंट सस्पेंड कर दिया गया है. उस देश की भाषा भी ख़राब है. यहाँ व्यंग्य का प्रयोग किया गया है।,sarcasm
17,17,Hindu Married men to Mr. Modi: triple talaq toh nipat gaya ab woh saat janmoon wala masla bhi nipata dijeyega  @narendramodi,0,hindu married men mr modi triple talaq toh nipat gaya ab woh saat janmoon wala masla bhi nipata dijeyega,"hindu married men mr modi has solved triple talaq, now even the issue of janmoon will be solved at that time.","""मोदी जी ने हिंदू विवाहित पुरुषों के लिए तीन तलाक का समाधान कर दिया है, अब जन्मून का मुद्दा भी उसी समय सुलझ जाएगा।""",No_sarcasm
18,18,"#TripleTalaq ""Modiji woh teen talaak ka matter clear ho jaaye,  toh woh saat janam wala matter bhi dekh lijiye please.""",0,tripletalaq modiji woh teen talaak ka matter clear ho jaaye toh woh saat janam wala matter bhi dekh lijiye please,"tripletalaq modiji, when the matter of teen talaq becomes clear, please see also the matter of birth.","""तीन तलाक मोदीजी, जब तीन तलाक का मामला स्पष्ट हो गया है तो कृपया जन्म का मामला भी देख लीजिए।""",No_sarcasm
19,19,"Muslims triple talaq ka darr dikhake apni biwiyo ka roj rape karte hn, talak- nikah- baccho ki factory.",0,muslims triple talaq ka darr dikhake apni biwiyo ka roj rape karte hn talak nikah baccho ki factory,"muslims show the horror of triple talaq, rape their wives, divorce, divorce, child factory","""मुसलमान तीन तलाक का खौफ दिखाते हैं, पत्नियों से बलात्कार करते हैं, तलाक, तलाक, चाइल्ड फैक्ट्री""",No_sarcasm
20,20,abhi chaat k kya matlab. Jisko samjhana tha samajh gaya tum sale intrviw to saare englsh mein dete to Bollywood kaho HIndi Film indutry nahi,0,abhi chaat k kya matlab jisko samjhana tha samajh gaya tum sale intrviw saare englsh mein dete bollywood kaho hindi film indutry nahi,"what is the meaning of reading now? who has understood the society? you gave all the interviews in english, not bollywood but hindi film industry.","""अब पढ़ने का क्या मतलब रह गया है? समाज को कौन समझ पाया है? तुमने सारे इंटरव्यू अंग्रेजी में दिए, बॉलीवुड में नहीं, हिंदी फिल्म इंडस्ट्री में।""",No_sarcasm
21,21,"Congress isame kuch nahi bolti esaliye Modi pachad Raha hai har jagah ,avasarvadi politics Congress karate hai Modi gorakshko bhi data hai",0,congress isame kuch nahi bolti esaliye modi pachad raha hai har jagah avasarvadi politics congress karate hai modi gorakshko bhi data hai,"congress is not saying anything because modi is winning everywhere, congress is doing unprincipled politics, modi is also a slave.","""कांग्रेस कुछ नहीं बोल रही क्योंकि मोदी हर जगह जीत रहे हैं, कांग्रेस सिद्धांतहीन राजनीति कर रही है, मोदी भी गुलाम हैं।""",No_sarcasm
22,22,#TripleTalaq aur Burkha pe bolne ko bolo toh Anand bhais kalti maar lete hai.,0,tripletalaq aur burkha pe bolne ko bolo toh anand bhais kalti maar lete hai,"when asked to speak on tripletalaq and burkha, anand bhasin kept lying down.","""जब उनसे ट्रिपल तलाक और बुर्का पर बोलने के लिए कहा गया तो आनंद भसीन लेट गए।""",No_sarcasm
23,23,Canadian ko itna bhaw matt diya kar khans khans hota hai aur baki sab bachhe hai...4 khans hi superstars hai bollywood ke baki sab stars,0,canadian ko itna bhaw matt diya kar khans khans hota hai aur baki sab bachhe hai khans hi superstars hai bollywood ke baki sab stars,"by giving so much importance to canadians, khans are khans and all the remaining stars are khans, all the other stars of bollywood are superstars.","""कनाडाई लोगों को इतना महत्व देकर, खान तो खान हैं और बाकी सभी सितारे भी खान हैं, बॉलीवुड के बाकी सभी सितारे सुपरस्टार हैं।""",No_sarcasm
24,24,"kaafiron' ko 'masjid' mein 'namaz' perhtay huaay maara gyaa..bohat khoob,mashallah! #irony",1,kaafiron ko masjid mein namaz perhtay huaay maara gyaa bohat khoob mashallah irony,kaafiron ko masjid mein namaz perhtay huaay maara gyaa bohat khoob mashallah irony,काफिरों को मस्जिद में नमाज पढ़ते हुए मारा गया बहुत खूब माशाअल्लाह विडंबना,sarcasm
25,25,Bhai Politics apni jagah par kisi bhi Hindu ladki ko Musalman kehna kaha sahi hai yaar. Ijjat sabse badi chij hai.,0,bhai politics apni jagah par kisi bhi hindu ladki ko musalman kehna kaha sahi hai yaar ijjat sabse badi chij hai,"brother politics, at your place it is right to call any hindu girl a muslim, friend, respect is the most important thing.","""भाई पॉलिटिक्स, आपके यहां तो किसी भी हिंदू लड़की को मुस्लिम कहना सही है, दोस्त, इज्जत सबसे बड़ी चीज है।""",No_sarcasm
26,26,Ho gaya lasho pe politics Khel ke? Politicians se toh tu zyada harami hai be. BC.. Mar kyu nahi jaate kahi jaake. Sharam karo madarchodon,0,ho gaya lasho pe politics khel ke politicians se toh tu zyada harami hai bc mar kyu nahi jaate kahi jaake sharam karo madarchodon,"you said politics on dead bodies, that's why you are more bastard than the politicians of the game. why don't you go somewhere with shame?","""आपने लाशों पर राजनीति की बात कही, इसलिए आप खेल के राजनेताओं से भी ज्यादा हरामी हैं। आप शर्म से कहीं क्यों नहीं जाते?""",No_sarcasm
27,27,@jalanjalans  Bhai AAP apne sab Kharche ka Hisaab Deti hai.. Sab Jagah.. u r saying jo Party ka 80% ka pata nahi wo hisaab deti hI,1,bhai aap apne sab kharche ka hisaab deti hai sab jagah u r saying jo party ka ka pata nahi wo hisaab deti hi,brother aap gives the account of all its expenses everywhere and you are saying that the party's party does not know that it gives the account.,भाई आम आदमी पार्टी हर जगह अपने सारे खर्चों का हिसाब देती है और आप कह रहे हो कि पार्टी की पार्टी को पता नहीं कि वह हिसाब देती है।,sarcasm
28,28,yes sir kahete he na ki cricket me kuch bhi ho sakta he kal ke match me dekh bhi liya.,0,yes sir kahete na ki cricket kuch bhi ho sakta kal ke match dekh bhi liya,"yes sir, you can't say that there is cricket and you can also watch yesterday's matches.","""हां सर, आप ये नहीं कह सकते कि क्रिकेट है और आप कल का मैच भी देख सकते हैं।""",No_sarcasm
29,29,Yeh kya vahiyaat kisam ki ODI cricket hai? #SLvIND,0,yeh kya vahiyaat kisam ki odi cricket hai slvind,what kind of illusion is this odi cricket slvind,ये कैसी माया है वनडे क्रिकेट SLvIND,No_sarcasm
30,30,Tuje pata Hai kolkta sonagachi main 90% prostitute Teri bahan hai Jo triple talaq or hallala or suvaro ki tarah 10 bachee hone ki wajah se,0,tuje pata hai kolkta sonagachi main prostitute teri bahan hai jo triple talaq hallala suvaro ki tarah bachee hone ki wajah se,you have found out that your sister is the main prostitute of kolkata who is saved like a horse due to triple talaq.,तुम्हें पता चल गया है कि तुम्हारी बहन कोलकाता की मुख्य वेश्या है जो तीन तलाक के कारण घोड़ी की तरह बच गई है।,No_sarcasm
31,31,Muslim bahno ke haq ke liye bohot Josh se ladh rahe they show bhi kiya #Triple talaq  Ek aurat ki ismat lutne wala Abhi bhi baba hi hai,0,muslim bahno ke haq ke liye bohot josh se ladh rahe show bhi kiya triple talaq ek aurat ki ismat lutne wala abhi bhi baba hi hai,"the show is full of passion for the rights of muslim sisters, triple talaq was also done, a woman's honor was not lost, abhi is also a father.","''शो मुस्लिम बहनों के हक के जुनून से भरा है, तीन तलाक भी हुआ, एक महिला की इज्जत नहीं गई, अभि भी पिता है.''",No_sarcasm
32,32,Pakistani sabiq leg-spinner Abdul Qadir ne kaha hai ke qoumi Cricket team ko World Eleven ke khilaaf series ko aasan na samjha jaye#AnSaR,0,pakistani sabiq leg spinner abdul qadir ne kaha hai ke qoumi cricket team ko world eleven ke khilaaf series ko aasan na samjha jaye ansar,pakistani former leg spinner abdul qadir has said that the qumi cricket team will not be able to easily understand the series against world eleven ansar,पाकिस्तान के पूर्व लेग स्पिनर अब्दुल कादिर ने कहा है कि क्यूमी क्रिकेट टीम वर्ल्ड इलेवन AnSaR के खिलाफ सीरीज को आसानी से नहीं समझ पाएगी,No_sarcasm
33,33,"#AAP   Ek apeel ye bhi kar dete ki kripya Hindu mujhe vote na den.,    Tab hoti Different Politics.",0,aap ek apeel ye bhi kar dete ki kripya hindu mujhe vote na den tab hoti different politics,"aap should also make an appeal asking hindus to vote for me every day, otherwise politics will be different.","""आप को भी हर दिन हिंदुओं से मेरे लिए वोट करने की अपील करनी चाहिए, नहीं तो राजनीति अलग होगी।""",No_sarcasm
34,34,@ArvindKejriwal  ji ... kya aapne triple talaq ka swagat kiya ki nhi.....,0,ji kya aapne triple talaq ka swagat kiya ki nhi,"sir, did you welcome triple talaq or not?","""सर, आपने तीन तलाक का स्वागत किया या नहीं?""",No_sarcasm
35,35,Ek debate program me inhone Kaha tha ki Yogi Jaise Sanki ko Party se Nikal do. Ab Yogi inka role model hai. Politics kya kya na karwaye.,0,ek debate program inhone kaha tha ki yogi jaise sanki ko party se nikal ab yogi inka role model hai politics kya kya na karwaye,"in a debate program he said that people like yogi should be expelled from the party, now yogi is their role model, what should be done in politics?","""एक डिबेट कार्यक्रम में उन्होंने कहा कि योगी जैसे लोगों को पार्टी से निकाल देना चाहिए, अब योगी ही उनके आदर्श हैं, राजनीति में क्या करना चाहिए?""",No_sarcasm
36,36,Triple Talaq jab jashoda ko milega,0,triple talaq jab jashoda ko milega,triple talaq jab jashoda ko milaga,Triple talaq jab jashoda ko milaga,No_sarcasm
37,37,"vese bhi padhkar karna kya he in netaon ke bachho ko, aana to inhe politics me hi he.",0,vese bhi padhkar karna kya netaon ke bachho ko aana inhe politics hi,why should the children of politicians study these politics?,नेताओं के बच्चे ये राजनीति क्यों पढ़ें?,No_sarcasm
38,38,Sharjeel Khan K Khilaf Faisla Sakht Palesi Ka Akaas Hai'Cricket Me Bad Unwaani Ki Mashkon Ko Qatai Bardasht Nai Krenge. Najam RP_BebarG Blch,0,sharjeel khan k khilaf faisla sakht palesi ka akaas haicricket me bad unwaani ki mashkon ko qatai bardasht nai krenge najam rp bebarg blch,sharjeel khan's decision against him is a reason for the strict policy. cricket is the reason for the bad news in cricket.,शरजील खान का उनके खिलाफ फैसला सख्त नीति का एक कारण है. क्रिकेट में बुरी खबरों की वजह क्रिकेट है.,No_sarcasm
39,39,News channel hai kya be. Jab dheko chalu ho jaata hai. Railway ke Pahele toh tera tweet aa jaata hai. Cricket khel bhai tu.,0,news channel hai kya jab dheko chalu ho jaata hai railway ke pahele toh tera tweet aa jaata hai cricket khel bhai tu,"what is the news channel? whenever you see it, it starts tweeting before the railway. you are playing cricket.","""न्यूज चैनल क्या है? जब भी देखो रेलवे से पहले चहकने लगता है। क्रिकेट खेल रहे हो।""",No_sarcasm
40,40,Ek sham Yateem bachon ke naam #charity #Event #pressconfrence #bollywood #Dkshroff #mustakkhan #sunilpaul #Mumbaipic.twitter.com/gvJ37T5bTA,0,ek sham yateem bachon ke naam charity event pressconfrence bollywood dkshroff mustakkhan sunilpaul mumbaipic twitter comgvjtbta,ek sham yateem bachon ke naam charity event pressconfrence bollywood dkshroff mustakkhan sunilpaul mumbaipic twitter comgvjtbta,Ek sham Yateem bachon ke naam charity Event pressconfrence bollywood Dkshroff mustakkhan sunilpaul Mumbaipic twitter comgvJTbTA,No_sarcasm
41,41,Jab shiv sena wale mumbai main north indian ko pitte hai.wo bhi kya desh bhagti hai in ki ?. Sab vote bank ki politics hai,0,jab shiv sena wale mumbai main north indian ko pitte hai wo bhi kya desh bhagti hai ki sab vote bank ki politics hai,when shiv sena beats mumbai main north indians then what country do they say that all is vote bank politics,जब शिव सेना मुंबई मुख्य उत्तर भारतीयों को पीटती है तो वे किस देश का कहना है कि यह सब वोट बैंक की राजनीति है,No_sarcasm
42,42,#Cricket_News: Umar Akmal Aur Kamran Akmal Ko Har Iss Coach Se Takleef Hai Jo Inhain Na Khilai....* #WaqarYounis,0,cricket news umar akmal aur kamran akmal ko har iss coach se takleef hai jo inhain na khilai waqaryounis,cricket news umar akmal and kamran akmal are upset with their coach who did not play them waqaryounis,क्रिकेट समाचार उमर अकमल और कामरान अकमल अपने कोच से नाराज हैं जिन्होंने उन्हें वकारयूनिस नहीं खिलाया,No_sarcasm
43,43,#RakshaBandhan #Contest In #Bollywood Jodi mein se aisi kaunsi jodi hai jisne kisi movie mein Bhai-Behen ka role nahi kiya hai??? #Vadodarapic.twitter.com/2jM5G3pT6e,0,rakshabandhan contest in bollywood jodi mein se aisi kaunsi jodi hai jisne kisi movie mein bhai behen ka role nahi kiya hai vadodarapic twitter comjmgpte,"rakshabandhan contest in bollywood jodi, which is the only jodi who has not played the role of brother and sister in any movie vadodarapic twitter comjmgpte","""रक्षाबंधन प्रतियोगिता में बॉलीवुड जोड़ी, जो एकमात्र ऐसी जोड़ी है जिसने किसी भी फिल्म में भाई-बहन का किरदार नहीं निभाया है। वडोदरापिक ट्विटर comjMGpTe""",No_sarcasm
44,44,#anuragbhadoriya  ji aap log ke  upar dhikaar hai politics  liye kuch bhi bech sakte ho yaar.... soch aisa rakho maa or mulk ek hai,0,anuragbhadoriya ji aap log ke upar dhikaar hai politics liye kuch bhi bech sakte ho yaar soch aisa rakho maa mulk ek hai,"anurag bhadoriya ji, you are insulting people, you can even sell anything for politics, keep thinking like this, you are one country.","""अनुराग भदोरिया जी, आप लोगों का अपमान कर रहे हैं, आप राजनीति के लिए कुछ भी बेच सकते हैं, ऐसे ही सोचते रहिए, आप एक देश हैं।""",No_sarcasm
45,45,Ghatiya aurat! Kuch to khuda ka khof kro! Politics k liye quran ka mazaq na urao fazul logon,0,ghatiya aurat kuch khuda ka khof kro politics k liye quran ka mazaq na urao fazul logon,"poor woman, fear god, don't make fun of quran for politics, fazul logon.","""बेचारी औरत, खुदा से डरो, राजनीति के लिए कुरान का मज़ाक मत उड़ाओ, फ़ज़ुल लोगन।""",No_sarcasm
46,46,@TimesNow SC ne kaha Agar Triple talaq ka mudda Islam ka hua toh usme woh dakhal nahi denge...Sirf Hindu Ke Tyohaar Me denge,0,sc ne kaha agar triple talaq ka mudda islam ka hua toh usme woh dakhal nahi denge sirf hindu ke tyohaar me denge,"sc said that if the issue of triple talaq is of islam then it will not be included in it, it will be included only in hindu festivals.","''SC ने कहा कि अगर तीन तलाक का मुद्दा इस्लाम का है तो इसे इसमें शामिल नहीं किया जाएगा, इसे सिर्फ हिंदू त्योहारों में ही शामिल किया जाएगा.''",No_sarcasm
47,47,Jihadi Mindset Beti ko na padhao Beti ko Burkhe me rakho Beti ko terroristo ko bachane ke liye use karo Aur triple talaq deke safar karne do,0,jihadi mindset beti ko na padhao beti ko burkhe rakho beti ko terroristo ko bachane ke liye use karo aur triple talaq deke safar karne,"jihadi mindset: don't teach your daughter, keep your daughter in burkha, use your daughter to protect terrorists and travel by giving triple talaq.","""जिहादी मानसिकता: अपनी बेटी को मत पढ़ाओ, अपनी बेटी को बुर्के में रखो, अपनी बेटी को आतंकवादियों की रक्षा के लिए इस्तेमाल करो और तीन तलाक देकर यात्रा करो।""",No_sarcasm
48,48,Yaani Jis Desh mein #TripleTalaq ban hai wo Sab chutiya hai,0,yaani jis desh mein tripletalaq ban hai wo sab chutiya hai,"that is, in a country where triple talaq is banned, everyone is deprived of it.","""यानी जिस देश में तीन तलाक पर प्रतिबंध है, वहां हर कोई इससे वंचित है।""",No_sarcasm
49,49,Its all about politics Agar kisi ko triple talaaq ke bare me nahi pata hai to uske bare me puche  Aur media ko dalali band kar dena chahiye,0,its politics agar kisi ko triple talaaq ke bare nahi pata hai uske bare puche aur media ko dalali band kar dena chahiye,"its politics: if anyone has not heard about triple talaq, then he should be banned from speaking to the media.","""यह राजनीति है: अगर किसी ने तीन तलाक के बारे में नहीं सुना है, तो उसे मीडिया से बात करने पर प्रतिबंध लगा देना चाहिए।""",No_sarcasm
50,50,"Aaj dhoni ko god, magic man bolnewale kabhi usiko gaali de rahe the.. Roflol!  #Irony",1,aaj dhoni ko god magic man bolnewale kabhi usiko gaali de rahe roflol irony,today dhoni is god's magic man who never says anything to us. roflol irony.,आज धोनी भगवान का जादुई आदमी है जो हमें कभी कुछ नहीं कहता. रोफ्लोल विडंबना।,sarcasm
51,51,Tumhara so called kapil sibbal jb triple talaq ko support karta hai tb tumhara aawaj kyon nahi nikalta. Padhe likhe gawar,0,tumhara called kapil sibbal jb triple talaq ko support karta hai tb tumhara aawaj kyon nahi nikalta padhe likhe gawar,"you called kapil sibbal, jb supports triple talaq, why is he not removing your voice? read it, you bastard.","""तुमने कपिल सिब्बल को बुलाया, जेबी तीन तलाक का समर्थन करते हैं, वह तुम्हारी आवाज क्यों नहीं हटा रहे हैं? इसे पढ़ो, कमीने।""",No_sarcasm
52,52,Kanoon majhabi ho Par mulk dharm nirpeksh  gazab chahat h logo ki   RT=agree  #TripleTalaq @sardanarohit @nitu_ji @bobbydeol0 @Nikkynikky6,0,kanoon majhabi ho par mulk dharm nirpeksh gazab chahat h logo ki rtagree tripletalaq,kanoon majhabi ho par mulk dharma absolute gazab rahat hai people rtagree tripletalaq,कानून मजहबी हो पर मुल्क धर्म बिल्कुल गजब राहत है लोगों को RTagree ट्रिपल तलाक,No_sarcasm
53,53,"Play #Dream11 @imKcCricket #PAK11 by #KcFantasyNews Zaman, Shehzad, Azam, Malik, SAhmed, Imad, Shadab, Nawaz/FAshraf Sohail , HAli, Raees.",0,play dream pak kcfantasynews zaman shehzad azam malik sahmed imad shadab nawazfashraf sohail hali raees,play dream pak kcfantasynews zaman shehzad azam malik sahmed imad shadab nawazfashraf sohail hali raees,प्ले ड्रीम PAK KcFantasyNews ज़मान शहजाद आज़म मलिक अहमद इमाद शादाब नवाज़ फ़ाशरफ़ सोहेल हाली रईस,No_sarcasm
54,54,Bachhe KI maut se JYADA important Hai #TripleTalaq in naspiton KE liye. Muslim dushmani KA ek AUR saboot.,0,bachhe ki maut se jyada important hai tripletalaq naspiton ke liye muslim dushmani ka ek aur saboot,"triple talaq is more important than the death of the child, another proof of muslim enmity for sterilization","""बच्चे की मौत से ज्यादा अहम है तीन तलाक, नसबंदी के लिए मुस्लिम दुश्मनी का एक और सबूत""",No_sarcasm
55,55,# triple talaq se bhe tez badhai nitish ji 4 instant talaq.iddat bhe poori nahi ke turant nikah.#tejasvi to bahana tha bjp mai jaana tha .2,0,triple talaq se bhe tez badhai nitish ji instant talaq iddat bhe poori nahi ke turant nikah tejasvi bahana tha bjp mai jaana tha,"triple talaq is faster than nitish ji, the idea of ​​instant talaq is not poor, bjp has given a brilliant excuse for not getting married immediately.","""तीन तलाक नीतीश जी से भी तेज है, तत्काल तलाक का आइडिया घटिया नहीं है, बीजेपी ने तुरंत शादी न करने का शानदार बहाना दिया है।""",No_sarcasm
56,56,Mam aap kabhi BJP KA SUPPORT KARTE DIKHTE H .  BHIR DEKHTA HU SABHI PARTY KO AARE HAAATH LETE H .  KYA YE BHI EK POLITICS TO NAHI H MAM,0,mam aap kabhi bjp ka support karte dikhte h bhir dekhta hu sabhi party ko aare hath lete h kya ye bhi ek politics to nahi h mam,"mam, when do you ever look at bjp's support card and look at the other party, why do you take politics to nothing?","""मैम, आप कभी बीजेपी के समर्थन कार्ड को कब देखती हैं और दूसरी पार्टी को कब देखती हैं, राजनीति को क्यों शून्य पर ले जाती हैं?""",No_sarcasm
57,57,Saare baghwaan apne ghar pe hai. Chaar dham ki yatra mat karo. Uttrakhand mat jao. - Aunty who was in Uttrakhand to meet God. #Irony,1,saare baghwaan apne ghar pe hai chaar dham ki yatra mat karo uttrakhand mat jao aunty uttrakhand meet god irony,all the gods are at home. go to uttrakhand with us on the journey to chaar dham. aunty uttrakhand meets god irony.,सारे भगवान घर पर हैं. चार धाम की यात्रा पर हमारे साथ चलें उत्तराखंड। आंटी उत्तराखंड की मुलाकात भगवान आयरनी से होती है।,sarcasm
58,58,Agar yahi chlta rha...to #BOLLYWOOD Ka future khatre mein hai,0,agar yahi chlta rha bollywood ka future khatre mein hai,"if this continues, bollywood's future is in danger.","""अगर ऐसा ही चलता रहा तो बॉलीवुड का भविष्य खतरे में है।""",No_sarcasm
59,59,@narendramodi @gssjodhpur @VasundharaBJP @AmitShah #jodhpurbanarthana triple Talaq se pidit Roshan Banu ka Bura Haal please help,0,jodhpurbanarthana triple talaq se pidit roshan banu ka bura haal please help,jodhpurbanarthana triple talaq se pidit roshan banu ka bura haal please help,जोधपुरबनर्थना तीन तलाक से पीड़ित रोशन बानू का बुरा हाल कृपया मदद करें,No_sarcasm
